tempo,0.15,0.3,0.45,0.6,0.75,0.9,1.05
1.5,0.044,0.059,0.069,0.082,0.095,0.111,0.126
3.0,0.048,0.061,0.076,0.084,0.102,0.122,0.134
6.0,0.055,0.067,0.086,0.098,0.11,0.127,0.14
12.0,0.06,0.068,0.091,0.104,0.118,0.135,0.152
24.0,0.067,0.075,0.094,0.111,0.128,0.14,0.161
36.0,0.075,0.075,0.104,0.119,0.134,0.151,0.169
48.0,0.075,0.079,0.115,0.127,0.139,0.159,0.178
72.0,0.083,0.089,0.131,0.138,0.147,0.167,0.179
120.0,0.09,0.119,0.143,0.155,0.167,0.179,0.19
240.0,0.115,0.135,0.163,0.172,0.182,0.187,0.198
360.0,0.135,0.143,0.19,0.196,0.202,0.188,0.199
480.0,0.163,0.159,0.191,0.197,0.203,0.218,0.23
